  0.87
 r 0.04
 l 0.09
radii nn 1.00
Bid nn 1.00
radio nn 0.99
radio vb 0.01
tempers nn 1.00
racing nn 0.38
racing vb 0.62
Hemenway's np$ 1.00
non-residents nn 1.00
originated vb 1.00
woefully advb 0.50
woefully ql 0.50
belatedly advb 1.00
cubbyhole nn 1.00
Judeo-Christian jj 1.00
second-half nn 1.00
originates vb 1.00
unreeling vb 1.00
yeast nn 1.00
resin nn 1.00
disdain nn 0.67
disdain vb 0.33
halvah nn 1.00
counted vb 1.00
L'Imperiale fw-at+np-tl 1.00
$2,300 nn 1.00
Nazarova nn 1.00
consolidated vb 1.00
counter nn 0.77
counter advb 0.16
counter vb 0.06
Lloyd nn 1.00
temple nn 1.00
tease nn 0.33
tease vb 0.67
humaine fw 1.00
presumed vb 1.00
Garth's np$ 1.00
jab nn 1.00
jag nn 1.00
gown nn 1.00
superb jj 1.00
1890's nn 1.00
enables vb 1.00
casks nn 1.00
field nn 0.99
field vb 0.01
popularly advb 1.00
jar nn 1.00
Lilian nn 1.00
brass-bound jj 1.00
crudity nn 1.00
jaw nn 1.00
leafy jj 1.00
jay nn 1.00
enabled vb 1.00
surgeon nn 1.00
weirdy nn 1.00
invaders nn 1.00
Karp's np$ 1.00
imminence nn 1.00
simmer vb 1.00
Ifni nn 1.00
reformation nn 1.00
intrigue nn 1.00
categorize vb 1.00
full-sisters nn 1.00
empowering vb 1.00
2130 cd 1.00
Napoleon nn 1.00
honors nn 0.86
honors vb 0.14
fatuous jj 1.00
Carreon's np$ 1.00
mooed vb 1.00
1898 cd 1.00
rebuked vb 1.00
indebted jj 1.00
1899 cd 1.00
confidentially advb 1.00
Ideal jj 1.00
quintet nn 1.00
Clov nn 1.00
occupying vb 1.00
gleeful jj 1.00
pregnancy nn 1.00
Congresswoman nn 0.50
Congresswoman nn-tl-hl 0.50
fractionated vb 1.00
fever nn 1.00
resonant jj 1.00
goods nn 1.00
Ideas nn 1.00
1896 cd 1.00
palatability nn 1.00
1897 cd 1.00
tektites nn 1.00
virtuosity nn 1.00
outside jj 0.21
outside advb 0.28
outside nn 0.11
outside in 0.41
unfrosted jj 1.00
garage nn 0.95
garage vb 0.05
appointees nn 1.00
Cowbird nn 1.00
grassroots-fueled jj 1.00
art-shop nn 1.00
aesthetes nn 1.00
Foil nn 1.00
Textron nn 1.00
rehearsals nn 1.00
Suzuki nn 1.00
Blackfeet nn 1.00
excuses nn 0.50
excuses vb 0.50
Shak. nn 1.00
Crucible nn 1.00
ansuh vb 1.00
Chapter nn 0.94
Chapter nn-tl-hl 0.06
eighteenth od 1.00
excused vb 1.00
scenic jj 1.00
splinters nn 1.00
restless jj 1.00
Emory nn 1.00
hasps nn 1.00
uneasy jj 1.00
beware vb 1.00
hymns nn 1.00
unease nn 1.00
Trenton nn 1.00
Chateau nn 0.67
Chateau fw-nn-tl 0.33
hopelessly advb 0.86
hopelessly ql 0.14
explorers nn 1.00
indecipherable jj 1.00
throwing vb 1.00
sleep-wakefulness nn 1.00
Guerrillas nn 1.00
Shake vb 1.00
near-blind jj 1.00
simplify vb 1.00
resigning vb 1.00
militant jj 0.88
militant nn 0.12
shipshape jj 1.00
scoffing nn 1.00
double-header nn 1.00
broadening nn 0.44
broadening vb 0.56
inclinations nn 1.00
laissez-faire jj 0.60
laissez-faire nn 0.40
McLendon nn 1.00
longtime nn 1.00
Zenith nn 1.00
self-satisfaction nn 1.00
Holstein nn 1.00
electrode nn 1.00
Nonresidential jj 1.00
Venezuelan jj 1.00
Garments nn 1.00
Collector's nn 1.00
conqueror nn 1.00
payroll nn 1.00
philosopher nn 1.00
probity nn 1.00
rear-guard nn 1.00
Lions nn 1.00
improved vb 1.00
haunches nn 1.00
Doctor nn 1.00
12-month jj 1.00
succeeding jj 0.17
succeeding vb 0.83
Bellini nn 1.00
veined vb 1.00
$46.7 nn 1.00
Panza nn 1.00
shivering vb 1.00
improves vb 1.00
clause nn 1.00
proctors nn 1.00
snatch vb 1.00
women's nn 1.00
Portland nn 1.00
Booker nn 1.00
Henry nn 1.00
immanent jj 1.00
decertify vb 1.00
eventfully advb 1.00
clawing vb 1.00
Henri nn 1.00
twelve-year-old jj 1.00
muscle nn 1.00
tasteless jj 1.00
extinguish vb 1.00
version nn 1.00
proverb nn 1.00
suite's nn 1.00
neo-dadaist nn 1.00
sent vb 1.00
2.44 cd 1.00
Tift nn 1.00
fat-soluble jj 1.00
raillery nn 1.00
mediums nn 1.00
gynecologist nn 1.00
dives nn 1.00
diver nn 1.00
bodybuilders nn 1.00
Orcutt nn 1.00
KC nn 1.00
Alvin nn 1.00
dived vb 1.00
Gosh uh 1.00
Escalation nn 1.00
KV nn 1.00
Duffy nn 1.00
Strasbourg nn 1.00
pageants nn 1.00
undergrowth nn 1.00
roadway nn 1.00
barnyards nn 1.00
Caucasian jj 1.00
explanation nn 1.00
alienation nn 1.00
ill jj 0.81
ill advb 0.12
ill nn 0.04
ill ql 0.04
Consultant nn 1.00
chromed vb 1.00
Ku nn 1.00
mentalities nn 1.00
suspenders nn 1.00
stabilizes vb 1.00
Didi nn 1.00
Torrid-Mighty nn 1.00
Pistol-whipping vb 1.00
botany nn 1.00
forecasting nn 0.22
forecasting vb 0.78
tolerance nn 1.00
stabilized vb 1.00
Suvorov's np$ 1.00
chromatogram nn 1.00
soundproof jj 1.00
Kathy nn 1.00
Paprika nn 1.00
inns nn 1.00
unhappiest jj 1.00
subsections nn 1.00
well-developed jj 1.00
Elisabeth nn 1.00
arson nn 1.00
skidding vb 1.00
predestined vb 1.00
Addict nn 1.00
Tunnard nn 1.00
KQED nn 1.00
heavy-handed jj 1.00
tokenish jj 1.00
playmate nn 1.00
triangles nn 1.00
subjugate vb 1.00
cps nn 1.00
tyrosine nn 1.00
Yff cs 1.00
outrage nn 0.75
outrage vb 0.25
N-no advb 1.00
reservation nn 1.00
yori fw- 1.00
feeble jj 1.00
areosol nn 1.00
footing nn 0.33
footing vb 0.67
yore nn 0.50
yore pn 0.50
atonally advb 1.00
Horn nn 1.00
celebrations nn 1.00
Dreamboat nn 1.00
Hord nn 1.00
fellowship nn 1.00
blazing vb 1.00
vouchsafes vb 1.00
doubts nn 1.00
Eighth od 1.00
whips nn 1.00
Montgomery nn 1.00
superintendent nn 1.00
booklists nn 1.00
variegated vb 1.00
municipally advb 1.00
doubte nn 1.00
stranger's nn 1.00
artillery nn 1.00
lobo nn 1.00
Eighty cd 1.00
lobe nn 1.00
leering vb 1.00
Feuchtwanger nn 1.00
Way's np$ 1.00
intercollegiate jj 1.00
Married vb 1.00
proving vb 1.00
scuffle nn 1.00
remembrance nn 1.00
duplicate nn 0.20
duplicate jj 0.40
duplicate vb 0.40
palindromes nn 1.00
volatile jj 1.00
Operators nn 1.00
dabhumaksanigalu'ahai fw 1.00
Herridge nn 1.00
designates vb 1.00
career-bound jj 1.00
Satan's np$ 1.00
farming nn 0.27
farming vb 0.73
limitless jj 1.00
fulfilling vb 1.00
3:30 cd 1.00
unfurled vb 1.00
incontestable jj 1.00
homebuilders nn 1.00
colors nn 0.94
colors vb 0.06
oversized jj 1.00
puzzle nn 0.60
puzzle vb 0.40
gabbling vb 1.00
election nn 1.00
Gilmore nn 1.00
compiling vb 1.00
inducement nn 1.00
pulsed vb 1.00
Almanac nn 1.00
Ouzo nn 1.00
$20,000,000,000 nn 1.00
Malabar nn 1.00
enmities nn 1.00
non-linear jj 1.00
approachable jj 1.00
foreshortened vb 1.00
liberals nn 1.00
covetousness nn 1.00
half-century nn 1.00
uneven jj 1.00
Diethylstilbestrol nn 1.00
Strait nn 1.00
fuck vb 1.00
introspection nn 1.00
anyway advb 1.00
carryover nn 1.00
name nn 0.93
name vb 0.07
vade fw 1.00
drugstore nn 1.00
Remus nn 1.00
headless jj 1.00
Morel nn 1.00
esteemed vb 1.00
Tsar nn 1.00
dismounting vb 1.00
precedents nn 1.00
qualities nn 1.00
educations nn 1.00
Included vb 1.00
Deslonde nn 1.00
Olympian jj 1.00
beauties nn 1.00
Darkling jj 1.00
synchronize vb 1.00
rabble nn 1.00
risked vb 1.00
orientations nn 1.00
stirrin vb 1.00
fillies nn 1.00
Isis nn 1.00
hearers nn 1.00
generator nn 1.00
138 nn 1.00
dreariness nn 1.00
tertiary jj 1.00
Stalling vb 1.00
geniuses nn 1.00
bravado nn 1.00
humility nn 1.00
worshiping vb 1.00
Newbery nn 1.00
elongated vb 1.00
impaired vb 1.00
hard-bitten jj 1.00
uses nn 0.45
uses vb 0.55
user nn 1.00
flimsies nn 1.00
Metro nn 1.00
grasshoppers nn 1.00
apprehensions nn 1.00
telephone nn 0.95
telephone vb 0.05
coaxed vb 1.00
operate vb 1.00
MacArthur-Helen nn 1.00
perfume nn 1.00
deformity nn 1.00
Competitive jj 1.00
limbic jj 1.00
solar-wind nn 1.00
attest vb 1.00
localization nn 1.00
uphold vb 1.00
Northfield nn 1.00
Success nn 1.00
Expresses vb 1.00
Spoilage nn 1.00
parting nn 0.25
parting vb 0.75
stasis nn 1.00
meek-mannered jj 1.00
capacitance nn 1.00
Expressed vb 1.00
crudest jj 1.00
landscaped vb 1.00
clefts nn 1.00
Reaching vb 1.00
chairmen nn 1.00
horse-radish nn 1.00
prayed vb 1.00
Savior nn 1.00
exhaustingly advb 1.00
interplanetary jj 1.00
A-bombs nn 1.00
drawers nn 1.00
grate nn 1.00
Casbah nn 1.00
unworkable jj 1.00
Egalitarianism nn 1.00
rudeness nn 1.00
Turbulent jj 1.00
Masque nn 1.00
prayer nn 1.00
dreamlike jj 1.00
Hutton nn 1.00
misled vb 1.00
toasting vb 1.00
Brussels nn 1.00
guileless jj 1.00
untidy jj 1.00
2:34-:34 cd 1.00
taxpayer's nn 1.00
dummy jj 1.00
diocese nn 1.00
someday advb 1.00
Restoration nn 1.00
sauces nn 1.00
jubilation nn 1.00
Collinsville nn 1.00
Era nn 1.00
Atlanta's np$ 1.00
mainstream nn 1.00
graduation nn 1.00
{0,T} nn 1.00
Mijbil nn 1.00
Cannon nn 1.00
genes nn 1.00
repression nn 1.00
uninominal jj 1.00
tilting vb 1.00
dented vb 1.00
Mortals nn 1.00
evidenced vb 1.00
bleeding nn 0.19
bleeding vb 0.81
Insulate vb 1.00
Wheeler nn 1.00
Hastings nn 1.00
equalize vb 1.00
robustness nn 1.00
Canada's np$ 1.00
February's np$ 1.00
cancer-ridden jj 1.00
guns nn 1.00
Sesame nn 1.00
Doolittle's np$ 1.00
Increasing vb 1.00
ex-fighter nn 1.00
half-acre nn 1.00
Registry nn 0.80
Registry nn-tl-hl 0.20
surround vb 1.00
excellently advb 0.80
excellently ql 0.20
Nitrogen nn 1.00
Housman's np$ 1.00
Fiske nn 1.00
Pride-Venus nn 1.00
wry-faced jj 1.00
Grace nn 1.00
polyunsaturated jj 1.00
displeased vb 1.00
force-rate nn 1.00
everyone pn 1.00
Edythe's np$ 1.00
illness nn 1.00
Viceroy nn 1.00
greatly advb 1.00
They'll pn 1.00
hawing nn 1.00
smoother jj 1.00
Inn nn 1.00
a-wing advb 1.00
usefully advb 1.00
bugs nn 0.80
bugs vb 0.20
analytic jj 1.00
frenziedly advb 1.00
Rosie nn 1.00
Push-ups nn 1.00
devote vb 1.00
Centennial nn 1.00
insecurity nn 1.00
stretching nn 0.06
stretching vb 0.94
Alva nn 1.00
hidden vb 1.00
fifty-cent jj 1.00
geysering vb 1.00
turf nn 1.00
commandment nn 1.00
bubbled vb 1.00
south nn 0.93
south advb 0.03
south jj 0.03
turn nn 0.39
turn vb 0.61
Arcilla nn 1.00
groveling vb 1.00
di fw-in-tl 1.00
bubbles nn 0.93
bubbles vb 0.07
tactually advb 1.00
d'un fw-in+at 1.00
showmanship nn 1.00
rewarding jj 1.00
Playboy nn 1.00
disinterred vb 1.00
remonstrate vb 1.00
beneficiary nn 1.00
rewarded vb 1.00
indoor jj 1.00
Gautier nn 1.00
wooed vb 1.00
upraised vb 1.00
Coates nn 1.00
placed vb 1.00
fulminate vb 1.00
saturated vb 1.00
milestones nn 1.00
moon's nn 1.00
eighty-year-old jj 1.00
places nn 0.92
places vb 0.08
depots nn 1.00
identifications nn 1.00
Agricultural jj 1.00
scales nn 0.80
scales vb 0.20
F nn 1.00
spend vb 1.00
crafty jj 1.00
despairing nn 0.25
despairing vb 0.75
ordeal nn 1.00
outlived vb 1.00
projects nn 0.94
projects vb 0.06
scaled vb 1.00
playback nn 1.00
bedlam nn 1.00
Sposato nn 1.00
communist nn 1.00
Periodic jj 1.00
Sentiment nn 1.00
Rat-face nn 1.00
communism nn 1.00
Dominated vb 1.00
Cooperative jj 1.00
co-workers nn 1.00
Housekeeping nn 1.00
Taken vb 1.00
himself pn 1.00
sayonara fw-uh-nc 1.00
jurists nn 1.00
director-general nn 1.00
prohibition nn 1.00
Electress nn 1.00
Captain nn 1.00
gypsy nn 1.00
builders' nn 1.00
Haruo nn 1.00
breathless jj 1.00
aristocracy nn 1.00
frenzy-free jj 1.00
somnolence nn 1.00
Winfield nn 1.00
teeming vb 1.00
hastily advb 1.00
Cir. nn 1.00
cupful nn 1.00
allege vb 1.00
symbolic-sounding jj 1.00
Hemus nn 1.00
loosens vb 1.00
diameter nn 1.00
onset nn 1.00
Patrimony nn 1.00
yachtels nn 1.00
aback advb 1.00
Fiddlesticks uh 1.00
toughs nn 1.00
scholarships nn 1.00
rediscover vb 1.00
Economy nn 1.00
miliaris nn 1.00
re-run vb 1.00
reproductions nn 1.00
baptisms nn 1.00
cafes nn 1.00
buds nn 1.00
officials nn 1.00
efficacy nn 1.00
dilated vb 1.00
defiantly advb 1.00
Idle jj 1.00
dilates vb 1.00
peals nn 1.00
deter vb 1.00
kazoo nn 1.00
imbued vb 1.00
geographical jj 1.00
inks nn 1.00
unleavened jj 1.00
1-hp nn 1.00
boggled vb 1.00
putty nn 1.00
skylights nn 1.00
bastard nn 1.00
entropy-increasing jj 1.00
phenonenon nn 1.00
Egyptians nn 1.00
enmeshed vb 1.00
Frosts nn 1.00
radiation-produced jj 1.00
gamut nn 1.00
Thurman nn 1.00
cycles nn 0.86
cycles vb 0.14
Educate vb 1.00
photomicrograph nn 1.00
From in 1.00
Iijima nn 1.00
mosquito nn 1.00
Gabler nn 1.00
Edgardo nn 1.00
prevalence nn 1.00
individualized vb 1.00
petulance nn 1.00
photographing vb 1.00
disapproval nn 1.00
Irishmen nn 1.00
agglutinins nn 1.00
luminosity nn 1.00
Autocollimator nn 1.00
co-author nn 1.00
stopovers nn 1.00
closely advb 0.98
closely ql 0.02
Nike-Zeus nn 1.00
feebly advb 1.00
affects nn 0.05
affects vb 0.95
regaining vb 1.00
Curious jj 1.00
Seminar nn 1.00
cheesecloth nn 1.00
canvassed vb 1.00
equivalent-choice nn 1.00
Copper nn 1.00
sweet-sounding jj 1.00
silver nn 0.79
silver jj 0.21
throes nn 1.00
1960 cd 1.00
1961 cd 1.00
1962 cd 1.00
1963 cd 1.00
1964 cd 1.00
1965 cd 1.00
1966 cd 1.00
1967 cd 1.00
old-age nn 1.00
calinda nn 1.00
curtness nn 1.00
stingy jj 1.00
globe-girdling jj 1.00
Week nn 0.83
Week nn-tl-hl 0.17
equitably advb 1.00
stings nn 1.00
mechanism nn 1.00
observation nn 1.00
groping nn 0.20
groping vb 0.80
Huck nn 1.00
Woe nn 1.00
bumblebees nn 1.00
1-ml nn 1.00
bodes vb 1.00
pseudo-thinking nn 1.00
misleading jj 0.20
misleading vb 0.80
Coping vb 1.00
fetid jj 1.00
phrasings nn 1.00
miffed vb 1.00
sanity nn 1.00
Bang-Jensen's np$ 1.00
television nn 1.00
Lyford's np$ 1.00
Unglazed jj 1.00
set's nn 1.00
warns vb 1.00
Dummkopf fw 1.00
middle-Gaelic nn 1.00
analogies nn 1.00
Suffer vb 1.00
Strafaci nn 1.00
Midwood nn 1.00
$840,000 nn 1.00
Marketing vb 1.00
well-planned jj 1.00
Gossiping vb 1.00
hair nn 1.00
judged vb 1.00
antidote nn 1.00
Hamilton's np$ 1.00
left-handed advb 1.00
nest nn 0.95
nest vb 0.05
stoneware nn 1.00
Expectations nn 1.00
Couldn't ql 1.00
Vladilen nn 1.00
Jovian jj 1.00
congenial jj 1.00
Bernadine's np$ 1.00
judges nn 0.94
judges vb 0.06
Anthology nn 1.00
worksheet nn 1.00
hail nn 0.80
hail vb 0.20
Scots nn 1.00
windbreaks nn 1.00
unyielding jj 1.00
Scott nn 1.00
cutback nn 1.00
synergism nn 1.00
offences nn 1.00
psalmist nn 1.00
brings vb 1.00
Sawyer nn 1.00
Fosdick's np$ 1.00
Fiberglas nn 1.00
Extreme jj 1.00
winders nn 1.00
genres nn 1.00
unclenched vb 1.00
sorrow nn 1.00
scaffolding nn 1.00
margin nn 1.00
organizations nn 1.00
spavined jj 1.00
semi-major jj 1.00
foisted vb 1.00
Southeast jj 0.89
Southeast nn 0.06
Southeast jj-tl-hl 0.06
inviolability nn 1.00
EWC nn 1.00
tragedy nn 1.00
Carson nn 1.00
K'ang-si nn 1.00
oak nn 1.00
tyrannical jj 1.00
Drunkard's nn 1.00
coherent jj 1.00
Hercules nn 1.00
swanky jj 1.00
darkened vb 1.00
Origen nn 1.00
bricklayers nn 1.00
Kid nn 1.00
Monsieur nn 1.00
brazenly advb 1.00
Mind vb 1.00
Evanston nn 1.00
Kiz nn 1.00
plainly advb 0.78
plainly ql 0.22
Pettigrew's np$ 1.00
bomber nn 1.00
firms nn 1.00
baseball's nn 1.00
incidentals nn 1.00
Catch nn 1.00
telepathically advb 1.00
Ave. nn 1.00
shames nn 1.00
yesterday's nr$ 1.00
firma fw 1.00
untimely jj 1.00
comas nn 1.00
starvation nn 1.00
shamed vb 1.00
O.E.C.D. nn 1.00
Buckra nn 1.00
Maximizing vb 1.00
Tunisian jj 1.00
swells nn 1.00
filament nn 1.00
termination nn 1.00
firepower nn 1.00
fennel nn 1.00
Colcord's np$ 1.00
elated vb 1.00
Endgame nn 1.00
Substance nn 1.00
trenches nn 1.00
messieurs fw- 1.00
pajamas nn 1.00
inconclusive jj 1.00
polarizing vb 1.00
hatchet nn 1.00
point-blank advb 1.00
Varigrad nn 1.00
percussion nn 1.00
Schockler nn 1.00
Bullfinch nn 1.00
hatched vb 1.00
Dawn nn 1.00
nation nn 1.00
Odd-lot nn 1.00
Emerson nn 1.00
idiosyncrasies nn 1.00
crystallites nn 1.00
logistics nn 1.00
hoo-pig uh 1.00
easement nn 1.00
mg nn 0.38
mg lBOD 0.05
mg l 0.57
defeated vb 1.00
Hegel nn 1.00
Providing vb 1.00
Babin-Festival nn 1.00
philanthropist nn 1.00
Dowex-2-chloride nn 1.00
waiter nn 1.00
rent nn 0.38
rent vb 0.62
viva fw 1.00
bondsman nn 1.00
housekeeper nn 1.00
NCTA nn 1.00
pageant nn 1.00
offbeat jj 1.00
waited vb 1.00
barometric jj 1.00
blowup nn 1.00
vivo nn 1.00
Browne nn 1.00
areas nn 1.00
salacious jj 1.00
implicated vb 1.00
productivity-share nn 1.00
cooperatives nn 1.00
emit vb 1.00
taunted vb 1.00
crews nn 1.00
claimed vb 1.00
insidiously advb 0.50
insidiously ql 0.50
Schools nn 1.00
pompously advb 1.00
beliefs nn 1.00
relaxed vb 1.00
ebbing vb 1.00
rockets nn 1.00
salvaging vb 1.00
barbarian nn 1.00
During in 1.00
tolerable jj 1.00
hand-holding nn 1.00
$100,000 nn 1.00
handiwork nn 1.00
relaxes vb 1.00
hay-wagon nn 1.00
mitigate vb 1.00
hasher nn 1.00
exploits nn 1.00
Northerners nn 1.00
complexities nn 1.00
meminisse fw 1.00
dense jj 1.00
Frauds nn 1.00
portended vb 1.00
Ophthalmic jj 1.00
Art nn 0.96
Art vb 0.04
balanced vb 1.00
mushroom nn 1.00
handling nn 0.62
handling vb 0.38
premier nn 1.00
assemblage nn 1.00
Wednesdays nrs 1.00
semi-serious jj 1.00
Budieshein nn 1.00
th' at 1.00
balances nn 1.00
comply vb 1.00
mortars nn 1.00
physicians nn 1.00
squandered vb 1.00
theorists nn 1.00
exceptional jj 1.00
Bodhisattva nn 1.00
necessity nn 1.00
unimaginative jj 1.00
Adriatic nn 1.00
anionic jj 1.00
jogs vb 1.00
Coliseum nn 1.00
Goulding nn 1.00
half-transparent jj 1.00
woodcutters nn 1.00
Stratford nn 1.00
trunks nn 1.00
first-level nn 1.00
Stanbury nn 1.00
immigrants nn 1.00
nullifiers nn 1.00
thy pn 1.00
the nil 0.00
the at-tl-hl 0.00
the at 1.00
Schubert nn 1.00
outdistanced vb 1.00
absolutely advb 0.37
absolutely ql 0.63
breeding vb 1.00
possessing vb 1.00
fundamentalist jj 0.50
fundamentalist nn 0.50
thrust nn 0.32
thrust vb 0.68
Madeleine nn 1.00
inter-town jj 1.00
snow-white jj 1.00
Pansies nn 1.00
jumps nn 0.50
jumps vb 0.50
Go vb 1.00
mills nn 1.00
pioneer nn 0.94
pioneer vb 0.06
bouquets nn 1.00
sinuous jj 1.00
insolent jj 1.00
Arp nn 1.00
thousands nn 1.00
1938-39 cd 1.00
scoured vb 1.00
public-spirited jj 1.00
$26,000,000 nn 1.00
intriguingly advb 1.00
paratroops nn 1.00
batters nn 1.00
twist nn 0.75
twist vb 0.25
jubilant jj 1.00
senselessly advb 1.00
GE nn 1.00
napkin nn 1.00
Kinda advb 1.00
Hatred nn 1.00
paymaster nn 1.00
Applications nn 1.00
keelson nn 1.00
Girl nn 1.00
twise advb 1.00
dean nn 1.00
Airless jj 1.00
baffle vb 1.00
downturn nn 1.00
orders nn 0.98
orders vb 0.02
Allison nn 1.00
Getting vb 1.00
membership nn 1.00
Reinforcements nn 1.00
decorum nn 1.00
behavior nn 1.00
Sermon nn 1.00
taffycolored jj 1.00
Fraud's np$ 1.00
wheat nn 1.00
disgusting jj 1.00
mistress nn 1.00
76-per-cent nn 1.00
categorized vb 1.00
Sunny nn 1.00
yachting vb 1.00
Break nn 0.50
Break vb 0.50
Sweeneys nn 1.00
axiom nn 1.00
piezoelectric jj 1.00
Aquidneck nn 1.00
Warsaw's np$ 1.00
sidelight nn 1.00
optional jj 1.00
Natrona nn 1.00
inured vb 1.00
381(c)(14) cd 1.00
involvements nn 1.00
demon-ridden jj 1.00
Hagerty's np$ 1.00
multicolored jj 1.00
axles nn 1.00
obsolescent jj 1.00
Noting vb 1.00
bleeps nn 1.00
break-through nn 1.00
'nuff ql 0.50
'nuff vb 0.50
gummy jj 1.00
Ritter's np$ 1.00
Hotel nn 1.00
Khartoum nn 1.00
pleats nn 1.00
Angie nn 1.00
photoelectrons nn 1.00
Appleby nn 1.00
anti-trust jj 1.00
galls nn 1.00
Decorating vb 1.00
pushing jj 0.06
pushing vb 0.94
fatter jj 1.00
Yvette nn 1.00
Livestock nn 1.00
fatten vb 1.00
blocking vb 1.00
pallet nn 1.00
cocopalm nn 1.00
dowel nn 1.00
triol nn 1.00
Shortcuts nn 1.00
grease nn 1.00
shaker nn 1.00
bashful jj 1.00
journey's nn 1.00
doubtfully advb 1.00
unfinished jj 1.00
nobody's pn 1.00
suffers vb 1.00
cache nn 1.00
triphenylarsine nn 1.00
Organ nn 1.00
tossing nn 0.25
tossing vb 0.75
oration nn 1.00
greasy jj 1.00
managers nn 1.00
Pamela's np$ 1.00
hare nn 1.00
hard jj 0.69
hard advb 0.31
Huffman nn 1.00
Queens nn 1.00
Stickney nn 1.00
sensory jj 1.00
harm nn 0.96
harm vb 0.04
60*0C. nil 1.00
harp nn 1.00
Multiplying vb 1.00
prepared vb 1.00
amenable jj 1.00
moon-round jj 1.00
Woodside nn 1.00
relatives nn 1.00
preflight jj 1.00
Demetrius nn 1.00
V-1 nn 1.00
long-time nn 1.00
changeable jj 1.00
Alfred's np$ 1.00
resided vb 1.00
bigoted jj 1.00
refusal nn 1.00
Treece nn 1.00
resides vb 1.00
gut-flattening jj 1.00
flat-bed nn 1.00
sternal jj 1.00
solvent nn 1.00
Pip's np$ 1.00
Whyn't wrb+dod* 1.00
bas-reliefs nn 1.00
calfskin nn 1.00
hypothalamically advb 1.00
tiring vb 1.00
Garza nn 1.00
water-balance nn 1.00
dissemination nn 1.00
Almost advb 0.69
Almost ql 0.31
nationalists nn 1.00
Fuhrer nn 1.00
snuffer nn 1.00
Gaunt jj 1.00
Examples nn 1.00
Lopatnikoff's np$ 1.00
flowed vb 1.00
Planeten fw-nns-tl 1.00
dammed vb 1.00
federalize vb 1.00
popping vb 1.00
elapsed vb 1.00
bronchiolar jj 1.00
Tommy's np$ 1.00
Schenk nn 1.00
unit nn 1.00
Yards nn 1.00
Crosby nn 1.00
communicating nn 0.14
communicating vb 0.86
walk nn 0.34
walk vb 0.66
flora nn 1.00
Convulsively advb 1.00
itinerant jj 1.00
tranquil jj 1.00
elapses vb 1.00
requirements nn 1.00
potted vb 1.00
indiscriminantly advb 1.00
entertain vb 1.00
intrapulmonary jj 1.00
unemployed jj 1.00
Henley's np$ 1.00
Grahamstown nn 1.00
negation nn 1.00
tablets nn 1.00
winos nn 1.00
Domitian's np$ 1.00
absences nn 1.00
indictments nn 1.00
belt-driven jj 1.00
Princeton nn 1.00
Fahey nn 1.00
Release nn 1.00
taxation nn 1.00
Kearton nn 1.00
militarist's nn 1.00
potentials nn 1.00
territory nn 1.00
Bleaching vb 1.00
bloodstream nn 1.00
loquacious jj 1.00
likely jj 0.83
likely advb 0.17
rising vb 1.00
headquarter nn 1.00
transverse jj 1.00
accomplished jj 0.02
accomplished vb 0.98
Belgians nn 1.00
reformers nn 1.00
murmuring vb 1.00
substantiates vb 1.00
digestive jj 1.00
Toys nn 1.00
fiddle nn 1.00
Reduces vb 1.00
walloping vb 1.00
dock nn 0.75
dock vb 0.25
grass-fed jj 1.00
sands nn 1.00
context nn 1.00
proposition nn 1.00
stone-still jj 1.00
sandy jj 1.00
Ramble vb 1.00
luminescence nn 1.00
Guggenheim nn 1.00
vaccinating vb 1.00
bovines nn 1.00
Angeles-Pasadena nn 1.00
10:50 cd 1.00
mid-1890's nn 1.00
checkin' vb 1.00
casein nn 1.00
straps nn 1.00
Sexton nn 1.00
turquoise jj 0.67
turquoise nn 0.33
relationships nn 1.00
make-work jj 1.00
detract vb 1.00
congratulate vb 1.00
chapter nn 1.00
Luette nn 1.00
anchored vb 1.00
shedding vb 1.00
5-foot jj 1.00
Dumpty nn 1.00
thinkin vb 1.00
roused vb 1.00
Infamous jj 1.00
Tugaru nn 1.00
mica nn 1.00
recollection nn 1.00
abduction nn 1.00
Reduced vb 1.00
puppet's nn 1.00
pastor nn 1.00
Daniels nn 1.00
individualists nn 1.00
checking nn 0.20
checking vb 0.80
green-bugs nn 1.00
Verboort nn 1.00
embodiment nn 1.00
diarrhoea nn 1.00
Ruth's np$ 1.00
Moving vb 1.00
magnified vb 1.00
progresses vb 1.00
parroting vb 1.00
defeats nn 1.00
progressed vb 1.00
magnifies vb 1.00
Surveys nn 1.00
establish vb 1.00
Kleiber nn 1.00
portable jj 1.00
Grapes nn 1.00
gained vb 1.00
1936 cd 1.00
Canute nn 1.00
Lewis's np$ 1.00
Richmond nn 1.00
milligram nn 1.00
jitters nn 1.00
excels vb 1.00
subconscious jj 0.75
subconscious nn 0.25
Comany's nn 1.00
jittery jj 1.00
Danger nn 1.00
schools nn 1.00
Denouncing vb 1.00
Skeletal jj 1.00
spattered vb 1.00
misdeeds nn 1.00
funding vb 1.00
bearings nn 1.00
Spencerian jj 1.00
utterances nn 1.00
patented vb 1.00
narrator nn 1.00
propitiate vb 1.00
less-developed jj 1.00
caliche-topped jj 1.00
distract vb 1.00
Bohart nn 1.00
grandsons nn 1.00
drug nn 1.00
fineness nn 1.00
Shadow nn 1.00
specialize vb 1.00
drum nn 1.00
slacking vb 1.00
myeloid jj 1.00
churning nn 0.33
churning vb 0.67
